"Granule Name","Platform","Sensor","Beam Mode","Beam Mode Description","Orbit","Path Number","Frame Number","Acquisition Date","Processing Date","Processing Level","Start Time","End Time","Center Lat","Center Lon","Near Start Lat","Near Start Lon","Far Start Lat","Far Start Lon","Near End Lat","Near End Lon","Far End Lat","Far End Lon","Faraday Rotation","Ascending or Descending?","URL","Size (MB)","Off Nadir Angle","Stack Size","Baseline Perp.","Doppler","GroupID"
"S1A_IW_SLC__1SDV_20170331T055826_20170331T055853_015932_01A445_CF67","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","15932","110","424","2017-03-31T05:58:53.000000","2017-03-31T05:58:26.000000","SLC","2017-03-31T05:58:26.000000","2017-03-31T05:58:53.000000","50.6441","3.4814","51.237305","5.546862","51.643181","1.857652","49.617764","5.029021","50.021305","1.467404","None","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170331T055826_20170331T055853_015932_01A445_CF67.zip","4379.575287818909","None","None","None","0","S1A_IWDV_0424_0429_015932_110"
"S1A_IW_SLC__1SDV_20170331T055801_20170331T055828_015932_01A445_611A","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","15932","110","419","2017-03-31T05:58:28.000000","2017-03-31T05:58:01.000000","SLC","2017-03-31T05:58:01.000000","2017-03-31T05:58:28.000000","52.1291","3.9082","52.719257","6.046215","53.128174","2.228208","51.101501","5.505557","51.50737","1.826218","None","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170331T055801_20170331T055828_015932_01A445_611A.zip","3835.8022441864014","None","None","None","0","S1A_IWDV_0419_0424_015932_110"
"S1A_IW_SLC__1SDV_20170331T055736_20170331T055803_015932_01A445_3DCA","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","15932","110","413","2017-03-31T05:58:03.000000","2017-03-31T05:57:36.000000","SLC","2017-03-31T05:57:36.000000","2017-03-31T05:58:03.000000","53.6132","4.3498","54.200169","6.56647","54.612652","2.609495","52.583946","6.000048","52.99258","2.194097","None","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170331T055736_20170331T055803_015932_01A445_3DCA.zip","3611.3301248550415","None","None","None","0","S1A_IWDV_0413_0419_015932_110"
"S1B_IW_SLC__1SDV_20170330T171611_20170330T171638_004941_008A33_9598","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","4941","15","172","2017-03-30T17:16:38.000000","2017-03-30T17:16:11.000000","SLC","2017-03-30T17:16:11.000000","2017-03-30T17:16:38.000000","53.5303","7.2819","54.111794","5.062374","52.503937","5.625364","54.526531","9.028152","52.914837","9.440968","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20170330T171611_20170330T171638_004941_008A33_9598.zip","4070.008339881897","None","None","None","0","S1B_IWDV_0172_0177_004941_015"
"S1B_IW_SLC__1SDV_20170330T171546_20170330T171613_004941_008A33_6D8B","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","4941","15","167","2017-03-30T17:16:13.000000","2017-03-30T17:15:46.000000","SLC","2017-03-30T17:15:46.000000","2017-03-30T17:16:13.000000","52.0466","7.7236","52.631386","5.582815","51.022003","6.120239","53.042492","9.409389","51.430069","9.808916","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20170330T171546_20170330T171613_004941_008A33_6D8B.zip","4522.350980758667","None","None","None","0","S1B_IWDV_0167_0172_004941_015"
"S1A_IW_SLC__1SDV_20170329T172512_20170329T172539_015910_01A3A4_D066","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","15910","88","173","2017-03-29T17:25:39.000000","2017-03-29T17:25:12.000000","SLC","2017-03-29T17:25:12.000000","2017-03-29T17:25:39.000000","53.851","5.1248","54.438271","2.909847","52.823391","3.480548","54.848949","6.859378","53.230076","7.278224","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170329T172512_20170329T172539_015910_01A3A4_D066.zip","3637.791528701782","None","None","None","0","S1A_IWDV_0173_0178_015910_088"
"S1A_IW_SLC__1SDV_20170329T172447_20170329T172514_015910_01A3A4_B142","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","15910","88","168","2017-03-29T17:25:14.000000","2017-03-29T17:24:47.000000","SLC","2017-03-29T17:24:47.000000","2017-03-29T17:25:14.000000","52.3678","5.5697","52.958305","3.434074","51.341995","3.978467","53.365288","7.243874","51.745792","7.64889","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170329T172447_20170329T172514_015910_01A3A4_B142.zip","4367.243702888489","None","None","None","0","S1A_IWDV_0168_0173_015910_088"
"S1A_IW_SLC__1SDV_20170329T172422_20170329T172449_015910_01A3A4_FBFE","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","15910","88","163","2017-03-29T17:24:49.000000","2017-03-29T17:24:22.000000","SLC","2017-03-29T17:24:22.000000","2017-03-29T17:24:49.000000","50.8832","5.9989","51.476662","3.9361","49.858795","4.457194","51.880558","7.616829","50.260227","8.009724","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170329T172422_20170329T172449_015910_01A3A4_FBFE.zip","4560.621046066284","None","None","None","0","S1A_IWDV_0163_0168_015910_088"
"S1B_IW_SLC__1SDV_20170328T173229_20170328T173256_004912_008955_4FB4","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","4912","161","170","2017-03-28T17:32:56.000000","2017-03-28T17:32:29.000000","SLC","2017-03-28T17:32:29.000000","2017-03-28T17:32:56.000000","53.0161","3.3281","53.60355","1.172159","51.994423","1.724628","54.009193","5.016671","52.396595","5.425993","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20170328T173229_20170328T173256_004912_008955_4FB4.zip","3555.0581521987915","None","None","None","0","S1B_IWDV_0170_0175_004912_161"
"S1B_IW_SLC__1SDV_20170328T173205_20170328T173232_004912_008955_9F50","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","4912","161","165","2017-03-28T17:32:32.000000","2017-03-28T17:32:05.000000","SLC","2017-03-28T17:32:05.000000","2017-03-28T17:32:32.000000","51.532","3.7628","52.122173","1.68178","50.512188","2.209685","52.52459","5.394033","50.91188","5.790426","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20170328T173205_20170328T173232_004912_008955_9F50.zip","4250.826794624329","None","None","None","0","S1B_IWDV_0165_0170_004912_161"
